TOP,MID,JUNGLE,ADC, SUPPORT
Lissandra,Orianna,Vi,Varus,Morgana
Nasus,Vel'Koz,Lee Sin,Ezreal,Leona
Vladimir,Irelia,Shaco,Sivir,Sona
Shen,Zed,Malphite,Tristana,LeBlanc
Akali,Sona,Wukong,Caitlyn,Janna
Jayce,Orianna,Malphite,Ezreal,Taric
Jarvan IV,Annie,Lee Sin,Graves,Leona
Irelia,Xerath,Pantheon,Quinn,Leona
Gangplank,Fizz,Gragas,Jynx,Morgana
Nasus,Anivia,Shaco,Jarvan IV,Miss Fortune
Ryze,Cho'Gath,Rek'Sai,Draven,Volibear
Malphite,Ezreal,Sejuani,Vayne,Thresh
Akali,Heimerdinger,Pantheon,Caitlyn,Leona
Riven,Zyra,Rammus,Tristana,Thresh
Yasuo,Nidalee,Vi,Ashe,Janna
Malphite,Katarina,Wukong,Graves,Thresh
Riven,Lux,Rek'Sai,Ezreal,Nami
Garen,Xerath,Malphite,Lucian,Leona
Aatrox,Ahri,Amumu,Caitlyn,Leona
Shen,Yasuo,Renga,Kog'Maw,Volibear
Pantheon,Syndra,Warwick,Miss Fortune,Leona
Annie,Lux,Jarvan IV,Ezreal,Blitzcrank
Cho'Gath,Zed,Vi,Jynx,Thresh
Vladimir,Lux,Udyr,Lucian,Thresh
Dr. Mundo,Syndra,Wukong,Ashe,Blitzcrank
Yasuo,Lissandra,Shaco,Cho'Gath,Varus
Malphite,Ezreal,Riven,Sona,Corki
Nasus,Fizz,Sion,Draven,Thresh
Darius,Shaco,Gangplank,Lucian,Taric
Maokai,Zed,Sejuani,Lucian,Thresh
Warwick,Fizz,Udyr,Ezreal,Leona
Swain,Akali,Vi,Corki,Thresh
Cho'Gath,Zed,Master Yi,Miss Fortune,Blitzcrank
Nidalee,Lissandra,Jarvan IV,Lucian,Thresh
Wukong,Cho'Gath,Lee Sin,Corki,Leona
Fiora,LeBlanc,Dr. Mundo,Ezreal,Nami
Cassiopeia,Ziggs,Vi,Varus,Teemo
Renga,Kassadin,Cho'Gath,Jynx,Blitzcrank
Kassadin,Lux,Rek'Sai,Ezreal,Janna
Fiora,Katarina,Warwick,Kalista,Janna
Graves,LeBlanc,Nasus,Jynx,Leona
Fiora,Yasuo,Vi,Vayne,Thresh
